N,Area,Deviation
100,0.84,0.110656732836398
600,0.933333333333333,0.0118408142626647
1100,0.989090909090909,-0.0471920721580073
1600,0.9125,0.0338979389443017
2100,0.893333333333333,0.0541904936514077
2600,0.916923076923077,0.0292150417042003
3100,0.965161290322581,-0.0218567800896684
3600,0.903333333333333,0.0436030738042219
4100,0.980487804878049,-0.0380836045289428
4600,0.934782608695652,0.0103064055891595
5100,0.978823529411765,-0.0363215662186508
5600,0.947857142857143,-0.00353615265824788
6100,0.95672131147541,-0.012921020134032
6600,0.943636363636364,0.000932563511018847
7100,0.956619718309859,-0.012813459184303
7600,0.96,-0.0163923053298305
8100,0.956543209876543,-0.0127324564937663
8600,0.91953488372093,0.0264498121913396
9100,0.945494505494506,-0.00103472928775899
9600,0.929583333333333,0.0158110967053594
10100,0.918019801980198,0.0280538928405333
10600,0.953962264150943,-0.00999990089379393
11100,0.946666666666667,-0.00227574553358291
11600,0.955862068965517,-0.0120113040137538
12100,0.945785123966942,-0.00134241926606241
12600,0.943174603174603,0.0014214486987676
13100,0.939847328244275,0.00494417436220781
13600,0.961764705882353,-0.0182606735381575
14100,0.923404255319149,0.0223531460258279
14600,0.952876712328767,-0.00885058160306814
15100,0.934834437086093,0.0102515326961998
15600,0.922051282051282,0.0237855956287204
16100,0.952546583850932,-0.00850106072323255
16600,0.94433734939759,0.000190400454918134
17100,0.909707602339181,0.0368543675858404
17600,0.9825,-0.0402139999859985
18100,0.961546961325967,-0.0180301382343676
18600,0.943010752688172,0.00159492408796887
19100,0.926701570680628,0.0188621398157722
19600,0.918571428571429,0.0274698626085103
20100,0.93771144278607,0.00720552597135952
20600,0.953009708737864,-0.00899139048519586
21100,0.955829383886256,-0.0119766989480659
21600,0.925,0.0206636641353195
22100,0.932126696832579,0.013118330986307
22600,0.916991150442478,0.0291429694111629
23100,0.937142857142857,0.0078075114637368
23600,0.932542372881356,0.0126782373014252
24100,0.938921161825726,0.00592474563436175
24600,0.95609756097561,-0.0122606292919044
25100,0.954262948207171,-0.0103182477282578
25600,0.914375,0.0319127977229543
26100,0.94544061302682,-0.000977671069560147
26600,0.94796992481203,-0.00365555964900568
27100,0.961918819188192,-0.0184238397654529
27600,0.941304347826087,0.00340156655838623
28100,0.938505338078292,0.00636499569401348
28600,0.955384615384615,-0.0115058038618987
29100,0.94914089347079,-0.00489531333082471
29600,0.939594594594595,0.00521175408807545
30100,0.950033222591362,-0.00584005963496108
30600,0.927712418300654,0.0177919130002986
31100,0.94096463022508,0.00376123984551979
31600,0.937215189873418,0.00773092976502305
32100,0.942928348909657,0.0016821684279819
32600,0.950184049079755,-0.00599974597062987
33100,0.945135951661631,-0.000655113291113432
33600,0.946309523809524,-0.00189762339618345
