N,Area,Deviation
100,0.9477,-0.00336977891779222
600,0.9477,-0.00336977891779234
1100,0.916220454545455,0.0299589375147918
1600,0.9568125,-0.0130175652535402
2100,0.958114285714286,-0.0143958204443614
2600,0.9385875,0.00627800741795575
3100,0.935941935483871,0.00907897764446316
3600,0.94213125,0.00252609050960923
4100,0.949033536585366,-0.00478165008887727
4600,0.972264130434783,-0.0293768551271999
5100,0.961279411764706,-0.0177468722808677
5600,0.943794642857143,0.000764986654671179
6100,0.952181557377049,-0.00811459186979951
6600,0.953498863636364,-0.0095092793132682
7100,0.948470070422535,-0.00418508480532019
7600,0.957531907894737,-0.0137792325958361
8100,0.9342,0.0109232378759085
8600,0.926296220930233,0.0192913006150112
9100,0.955510714285714,-0.0116393100627191
9600,0.9290953125,0.0163277848510266
10100,0.930738118811881,0.0145884768358772
10600,0.945120990566038,-0.000639273351071074
11100,0.94983445945946,-0.00562962076220177
11600,0.95822650862069,-0.0145146355470184
12100,0.941223347107438,0.0034873254200121
12600,0.9426375,0.00199010237984553
13100,0.956603816793893,-0.0127966235817293
13600,0.943679779411765,0.000886597406802449
14100,0.95015585106383,-0.00596989154728464
14600,0.93783852739726,0.00707097615788028
15100,0.925009271523179,0.0206538479844677
15600,0.950854326923077,-0.00670939726478192
16100,0.946341614906832,-0.00193159958823977
16600,0.938477710843374,0.00639424580754309
17100,0.944715789473684,-0.000210269942342558
17600,0.950599431818182,-0.00643952911553027
18100,0.948304143646409,-0.00400941116104632
18600,0.939175403225807,0.00565556958984294
19100,0.942738219895288,0.00188346599800762
19600,0.940261224489796,0.00450596502975708
20100,0.934733955223881,0.0103579170624262
20600,0.930802063106796,0.0145207763261676
21100,0.940876421800948,0.00385462980755448
21600,0.941878125,0.00279408457449132
22100,0.946050678733032,-0.00162357324616357
22600,0.959796238938053,-0.0161765749386968
23100,0.954169480519481,-0.0102192895630851
23600,0.952179025423729,-0.0081119111845158
24100,0.945960684647303,-0.00152829272922631
24600,0.942588109756098,0.00204239390470059
25100,0.944142131474104,0.000397085866683142
25600,0.9367365234375,0.00823771401740467
26100,0.943859482758621,0.000696337928691654
26600,0.940779981203008,0.0039567355176254
27100,0.935258579335793,0.00980247548894857
27600,0.942351358695652,0.00229305219232078
28100,0.948932295373666,-0.00467446176746639
28600,0.942283479020979,0.00236491925380628
29100,0.940497680412371,0.00425561921699141
29600,0.950778547297297,-0.00662916619338275
30100,0.945641362126246,-0.00119021256951692
30600,0.943352205882353,0.00123341325547318
31100,0.944594131832798,-8.1465890173903e-05
31600,0.94948789556962,-0.0052626990216416
32100,0.947870327102804,-0.00355011137266601
32600,0.940823696319019,0.00391045248893785
33100,0.9461583081571,-0.0017375250362155
33600,0.9450421875,-0.000555841236532419
34100,0.94219508797654,0.00245850256362736
34600,0.943960187861272,0.000589717208439612
35100,0.950919230769231,-0.00677811369167474
35600,0.940072120786517,0.0047061770598844
36100,0.941086495844875,0.00363221559734896
36600,0.945658401639344,-0.00120825301743335
37100,0.941461253369272,0.00323544407218093
37600,0.946391289893617,-0.00198419258233914
38100,0.945069094488189,-0.000584328794610524
38600,0.946283549222798,-0.00187012301068123
39100,0.943924488491049,0.00062751363052291
39600,0.947331818181818,-0.00297996936887316
40100,0.945563902743142,-0.00110820306851456
40600,0.940472844827586,0.00428191369331826
41100,0.952843795620438,-0.00881573130196144
41600,0.949934314903846,-0.00573534191357649
42100,0.949561460807601,-0.00534058562770751
42600,0.943379049295775,0.00120499300667055
43100,0.950533120649652,-0.00636932269735197
43600,0.954095470183486,-0.010140931713065
44100,0.947080102040816,-0.00271346692216318
44600,0.938996132286996,0.00584537125940192
45100,0.946164412416852,-0.00174398787230034
45600,0.945102138157895,-0.000619313515057112
46100,0.940425813449024,0.00433170778840139
46600,0.937296888412017,0.00764443209211759
47100,0.954587579617834,-0.0106619486322854
47600,0.940501890756303,0.00425116154910114
48100,0.949367151767152,-0.00513486248857361
48600,0.9400875,0.00468989444087795
49100,0.948516598778004,-0.00423434632873505
49600,0.951300907258065,-0.00718221061498306
50100,0.948645808383234,-0.00437114596262037
50600,0.944782559288538,-0.000280961948639651
51100,0.946523043052838,-0.00212368518362523
51600,0.953068604651163,-0.00905374606133362
52100,0.948889347408829,-0.004628990953936
52600,0.94104752851711,0.00367347194328616
53100,0.943203813559322,0.00139052243807589
53600,0.94375578358209,0.000806128600665852
54100,0.9444323012939,8.98708957661722e-05
54600,0.945096428571429,-0.000613268536149993
55100,0.945450816696915,-0.000988474123487787
55600,0.940587005395684,0.00416104710687442
56100,0.938733689839572,0.00612323009706144
56600,0.942676855123675,0.0019484354580971
57100,0.944189054290718,0.000347406710692059
57600,0.940644140625,0.00410055564079041
58100,0.940548020654045,0.00420232188961068
58600,0.934109001706485,0.011019581589791
59100,0.937215228426396,0.00773088894736622
59600,0.944947902684564,-0.000456017943908594
60100,0.939967262895175,0.00481719451187742
60600,0.940692698019802,0.00404914588824494
61100,0.942629214402619,0.00199887468966171
61600,0.942315340909091,0.0023311857351497
62100,0.942094565217391,0.0025649302291574
62600,0.941295047923323,0.00341141275589651
